Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,routes_count,dep_date_time,trip_duration,arrival_date_time
Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,11:40:00,19:00,7h 20m,1 stop,In-flight meal not included,10791,1,2019-06-24 11:40:00,0 days 07:20:00,2019-06-24 19:00:00
Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05:00,12:35 25 Jun,13h 30m,2 stops,No info,12819,2,2019-06-24 23:05:00,0 days 13:30:00,2019-06-25 12:35:00
IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,05:05:00,10:05,5h,1 stop,No info,6893,1,2019-03-21 05:05:00,0 days 05:00:00,2019-03-21 10:05:00
Vistara,2019-03-09,Banglore,Delhi,BLR → DEL,09:50:00,12:35,2h 45m,non-stop,No info,7240,0,2019-03-09 09:50:00,0 days 02:45:00,2019-03-09 12:35:00
GoAir,2019-04-03,Banglore,Delhi,BLR → DEL,11:40:00,14:30,2h 50m,non-stop,No info,3898,0,2019-04-03 11:40:00,0 days 02:50:00,2019-04-03 14:30:00
IndiGo,2019-04-03,Mumbai,Hyderabad,BOM → HYD,06:25:00,07:55,1h 30m,non-stop,No info,4049,0,2019-04-03 06:25:00,0 days 01:30:00,2019-04-03 07:55:00
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,17:30:00,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,10262,1,2019-06-15 17:30:00,0 days 19:05:00,2019-06-16 12:35:00
SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,08:20:00,10:35,2h 15m,non-stop,No check-in baggage included,3332,0,2019-03-21 08:20:00,0 days 02:15:00,2019-03-21 10:35:00
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,21:10:00,12:00 10 Jun,14h 50m,1 stop,In-flight meal not included,10844,1,2019-06-09 21:10:00,0 days 14:50:00,2019-06-10 12:00:00
Jet Airways,2019-03-24,Banglore,Delhi,BLR → DEL,19:55:00,22:35,2h 40m,non-stop,No info,7229,0,2019-03-24 19:55:00,0 days 02:40:00,2019-03-24 22:35:00
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,06:30:00,04:40 07 May,22h 10m,1 stop,No info,13941,1,2019-05-06 06:30:00,0 days 22:10:00,2019-05-07 04:40:00
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,11:25:00,21:00,9h 35m,1 stop,No info,5894,1,2019-06-27 11:25:00,0 days 09:35:00,2019-06-27 21:00:00
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,09:00:00,19:00,10h,1 stop,No info,10197,1,2019-05-18 09:00:00,0 days 10:00:00,2019-05-18 19:00:00
Jet Airways,2019-03-06,Banglore,Delhi,BLR → BOM → DEL,14:05:00,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,13712,1,2019-03-06 14:05:00,0 days 21:20:00,2019-03-07 11:25:00
IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,02:00:00,07:25,5h 25m,1 stop,No info,5636,1,2019-06-24 02:00:00,0 days 05:25:00,2019-06-24 07:25:00
Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,09:40:00,04:25 07 Jun,18h 45m,2 stops,No info,13014,2,2019-06-06 09:40:00,0 days 18:45:00,2019-06-07 04:25:00
Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,08:25:00,20:45,12h 20m,1 stop,In-flight meal not included,7064,1,2019-04-01 08:25:00,0 days 12:20:00,2019-04-01 20:45:00
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,20:25:00,14:25 25 May,18h,1 stop,In-flight meal not included,10703,1,2019-05-24 20:25:00,0 days 18:00:00,2019-05-25 14:25:00
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,13:15:00,22:30,9h 15m,1 stop,No info,9646,1,2019-05-27 13:15:00,0 days 09:15:00,2019-05-27 22:30:00
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,02:15:00,13:20,11h 5m,1 stop,No info,17057,1,2019-03-06 02:15:00,0 days 11:05:00,2019-03-06 13:20:00
Jet Airways,2019-03-12,Banglore,Delhi,BLR → BOM → DEL,16:55:00,10:25 13 Mar,17h 30m,1 stop,No info,13817,1,2019-03-12 16:55:00,0 days 17:30:00,2019-03-13 10:25:00
Air India,2019-03-06,Delhi,Cochin,DEL → BHO → BOM → COK,05:55:00,19:15,13h 20m,2 stops,No info,13748,2,2019-03-06 05:55:00,0 days 13:20:00,2019-03-06 19:15:00
Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,20:45:00,23:20,2h 35m,non-stop,No info,4880,0,2019-04-21 20:45:00,0 days 02:35:00,2019-04-21 23:20:00
IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,05:15:00,07:40,2h 25m,non-stop,No info,3540,0,2019-06-21 05:15:00,0 days 02:25:00,2019-06-21 07:40:00
SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,05:55:00,08:35,2h 40m,non-stop,No check-in baggage included,3257,0,2019-05-15 05:55:00,0 days 02:40:00,2019-05-15 08:35:00
Jet Airways,2019-06-03,Banglore,Delhi,BLR → DEL,19:50:00,22:50,3h,non-stop,In-flight meal not included,6478,0,2019-06-03 19:50:00,0 days 03:00:00,2019-06-03 22:50:00
Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,07:05:00,08:30,1h 25m,non-stop,No info,8040,0,2019-06-18 07:05:00,0 days 01:25:00,2019-06-18 08:30:00
Jet Airways,2019-06-12,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00:00,12:35 13 Jun,16h 35m,2 stops,No info,14300,2,2019-06-12 20:00:00,0 days 16:35:00,2019-06-13 12:35:00
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,08:25:00,20:45,12h 20m,1 stop,No info,14781,1,2019-05-15 08:25:00,0 days 12:20:00,2019-05-15 20:45:00
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,20:00:00,08:15 10 Jun,12h 15m,1 stop,No info,14939,1,2019-06-09 20:00:00,0 days 12:15:00,2019-06-10 08:15:00
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,20:55:00,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262,1,2019-06-24 20:55:00,0 days 07:30:00,2019-06-25 04:25:00
Air India,2019-05-12,Kolkata,Banglore,CCU → MAA → BLR,14:35:00,14:35 13 May,24h,1 stop,No info,6528,1,2019-05-12 14:35:00,1 days 00:00:00,2019-05-13 14:35:00
Air India,2019-05-01,Banglore,Delhi,BLR → DEL,06:10:00,08:55,2h 45m,non-stop,No info,6121,0,2019-05-01 06:10:00,0 days 02:45:00,2019-05-01 08:55:00
Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,19:30:00,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029,2,2019-05-18 19:30:00,0 days 08:55:00,2019-05-19 04:25:00
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,11:40:00,18:50,7h 10m,1 stop,No info,11421,1,2019-03-27 11:40:00,0 days 07:10:00,2019-03-27 18:50:00
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,04:45:00,19:15,14h 30m,1 stop,No info,7574,1,2019-03-27 04:45:00,0 days 14:30:00,2019-03-27 19:15:00
Air India,2019-05-09,Delhi,Cochin,DEL → JDH → BOM → COK,12:55:00,19:15 10 May,30h 20m,2 stops,No info,11596,2,2019-05-09 12:55:00,1 days 06:20:00,2019-05-10 19:15:00
Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05:00,19:00 25 May,19h 55m,2 stops,No info,15129,2,2019-05-24 23:05:00,0 days 19:55:00,2019-05-25 19:00:00
Jet Airways,2019-03-18,Banglore,Delhi,BLR → BOM → DEL,14:05:00,05:05 16 Mar,15h,1 stop,No info,13555,1,2019-03-18 14:05:00,0 days 15:00:00,2019-03-19 05:05:00
IndiGo,2019-04-12,Banglore,Delhi,BLR → DEL,18:55:00,21:50,2h 55m,non-stop,No info,5780,0,2019-04-12 18:55:00,0 days 02:55:00,2019-04-12 21:50:00
Vistara,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,20:20:00,09:05 13 May,12h 45m,1 stop,No info,9397,1,2019-05-12 20:20:00,0 days 12:45:00,2019-05-13 09:05:00
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,18:15:00,04:25 07 Mar,10h 10m,1 stop,No info,17024,1,2019-03-06 18:15:00,0 days 10:10:00,2019-03-07 04:25:00
GoAir,2019-06-27,Delhi,Cochin,DEL → BOM → COK,07:00:00,12:55,5h 55m,1 stop,No info,5281,1,2019-06-27 07:00:00,0 days 05:55:00,2019-06-27 12:55:00
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,07:05:00,22:30,15h 25m,1 stop,No info,10348,1,2019-05-18 07:05:00,0 days 15:25:00,2019-05-18 22:30:00
Air India,2019-03-06,Delhi,Cochin,DEL → MAA → COK,17:20:00,09:25 07 Mar,16h 5m,1 stop,No info,12677,1,2019-03-06 17:20:00,0 days 16:05:00,2019-03-07 09:25:00
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,15:25:00,01:35 04 Mar,10h 10m,1 stop,No info,15147,1,2019-03-03 15:25:00,0 days 10:10:00,2019-03-04 01:35:00
Vistara,2019-06-12,Banglore,Delhi,BLR → DEL,07:00:00,09:40,2h 40m,non-stop,No info,4668,0,2019-06-12 07:00:00,0 days 02:40:00,2019-06-12 09:40:00
Jet Airways,2019-05-09,Delhi,Cochin,DEL → BOM → COK,07:05:00,19:00,11h 55m,1 stop,No info,15554,1,2019-05-09 07:05:00,0 days 11:55:00,2019-05-09 19:00:00
SpiceJet,2019-04-09,Banglore,Delhi,BLR → DEL,05:55:00,08:35,2h 40m,non-stop,No info,3971,0,2019-04-09 05:55:00,0 days 02:40:00,2019-04-09 08:35:00
Air India,2019-05-03,Mumbai,Hyderabad,BOM → HYD,15:00:00,16:25,1h 25m,non-stop,No info,3100,0,2019-05-03 15:00:00,0 days 01:25:00,2019-05-03 16:25:00
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,9663,1,2019-05-06 20:00:00,0 days 14:05:00,2019-05-07 10:05:00
Air India,2019-03-01,Delhi,Cochin,DEL → BOM → COK,23:00:00,19:15 02 Mar,20h 15m,1 stop,No info,27430,1,2019-03-01 23:00:00,0 days 20:15:00,2019-03-02 19:15:00
IndiGo,2019-05-12,Chennai,Kolkata,MAA → CCU,05:15:00,07:40,2h 25m,non-stop,No info,3540,0,2019-05-12 05:15:00,0 days 02:25:00,2019-05-12 07:40:00
Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00:00,11:10 22 May,23h 10m,2 stops,No info,10676,2,2019-05-21 12:00:00,0 days 23:10:00,2019-05-22 11:10:00
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,14:05:00,08:15 13 Jun,18h 10m,1 stop,No info,13044,1,2019-06-12 14:05:00,0 days 18:10:00,2019-06-13 08:15:00
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00:00,12:00 07 May,16h,1 stop,No info,14388,1,2019-05-06 20:00:00,0 days 16:00:00,2019-05-07 12:00:00
IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,04:00:00,06:50,2h 50m,non-stop,No info,3943,0,2019-06-24 04:00:00,0 days 02:50:00,2019-06-24 06:50:00
IndiGo,2019-06-03,Chennai,Kolkata,MAA → CCU,14:45:00,17:05,2h 20m,non-stop,No info,3597,0,2019-06-03 14:45:00,0 days 02:20:00,2019-06-03 17:05:00
Air India,2019-03-21,Banglore,Delhi,BLR → MAA → DEL,11:50:00,19:50,8h,1 stop,No info,5932,1,2019-03-21 11:50:00,0 days 08:00:00,2019-03-21 19:50:00
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,11:30:00,04:25 16 Jun,16h 55m,1 stop,In-flight meal not included,10262,1,2019-06-15 11:30:00,0 days 16:55:00,2019-06-16 04:25:00
Vistara,2019-05-12,Delhi,Cochin,DEL → COK,14:40:00,17:50,3h 10m,non-stop,No info,6216,0,2019-05-12 14:40:00,0 days 03:10:00,2019-05-12 17:50:00
IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,20:25:00,23:10,2h 45m,non-stop,No info,4804,0,2019-06-15 20:25:00,0 days 02:45:00,2019-06-15 23:10:00
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,11:30:00,01:30 22 May,14h,1 stop,No info,14067,1,2019-05-21 11:30:00,0 days 14:00:00,2019-05-22 01:30:00
